Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Duration,Utterance_Length
4021,"If we broke up, and I lost you...",Rachel,fear,negative,410,17,1,24,1900-01-01 00:19:52.399,1900-01-01 00:19:54.358,1.959,8
4023,"Hello?  No she cant come to the phone right now.  Oh, right no problem. Okay, bye-bye.",Ross,neutral,neutral,411,0,6,15,1900-01-01 00:19:45.100,1900-01-01 00:19:50.688,5.588,16
4024,Was it my work? Were they mad? Was it Jack? Did he yell?!,Phoebe,fear,negative,411,1,6,15,1900-01-01 00:19:50.856,1900-01-01 00:19:53.357,2.501,13
4025,"J-j-just relax, nobody yelled. Jack just was calling to make sure that",Ross,neutral,neutral,411,2,6,15,1900-01-01 00:19:53.525,1900-01-01 00:19:58.946,5.421,12
4028,"...DUMB, DRUNKEN, BITCH!!!   Thank you, thanks.",Phoebe,anger,negative,412,0,4,2,1900-01-01 00:04:03.117,1900-01-01 00:04:12.709,9.592,6
4029,"Hey, heres a question; where did you guys get the finest oak East of the Mississippi?",Ross,neutral,neutral,412,1,4,2,1900-01-01 00:04:15.004,1900-01-01 00:04:23.512,8.508,16
4030,"Uh-huh, first you tell us where you got the prettiest lace in all the land.",Chandler,neutral,neutral,412,2,4,2,1900-01-01 00:04:19.759,1900-01-01 00:04:23.512,3.753,15
4031,Im reading your ad.,Ross,neutral,neutral,412,3,4,2,1900-01-01 00:04:24.347,1900-01-01 00:04:25.430,1.083,4
4034,"Stunning entertainment center. Fine,  fine Italian craftsmanship.",Chandler,neutral,neutral,412,6,4,2,1900-01-01 00:04:28.309,1900-01-01 00:04:35.524,7.215,7
4035,"Oh my God, you guys are selling the entertainment center?",Phoebe,surprise,negative,412,7,4,2,1900-01-01 00:04:37.026,1900-01-01 00:04:40.028,3.002,10
4036,Why? I love that thing.,Rachel,joy,positive,412,8,4,2,1900-01-01 00:04:40.196,1900-01-01 00:04:41.658,1.462,5
4039,"Ahh, Gepeto, $5,000 dollars? Are you insane?",Chandler,surprise,negative,412,11,4,2,1900-01-01 00:04:50.623,1900-01-01 00:04:52.416,1.793,7
4040,"Hey, the ad alone cost 300 bucks!",Joey,neutral,neutral,412,12,4,2,1900-01-01 00:04:52.583,1900-01-01 00:04:55.544,2.961,7
4041,"All right look, Im changing it to 50 bucks, or your best offer.",Chandler,neutral,neutral,412,13,4,2,1900-01-01 00:04:55.712,1900-01-01 00:05:00.757,5.045,13
4042,What kind of profit is that?! And you call yourself an accountant.,Joey,anger,negative,412,14,4,2,1900-01-01 00:05:00.925,1900-01-01 00:05:05.095,4.17,12
4044,Oh. What do you do?,Joey,surprise,negative,412,16,4,2,1900-01-01 00:05:11.102,1900-01-01 00:05:15.647,4.545,5
4045,"That's right Ross, I can see you in your new apartment!",Joey,neutral,neutral,413,0,5,17,1900-01-01 00:01:47.315,1900-01-01 00:01:49.367,2.052,11
4046,And you can see me!,Joey,neutral,neutral,413,1,5,17,1900-01-01 00:01:49.367,1900-01-01 00:01:50.708,1.341,5
4047,"Same as yesterday,  same as the day before.",Joey,neutral,neutral,413,2,5,17,1900-01-01 00:01:50.819,1900-01-01 00:01:54.613,3.794,8
4048,Is he doing his shark attack bit yet?,Monica,neutral,neutral,413,3,5,17,1900-01-01 00:01:54.781,1900-01-01 00:01:56.615,1.834,8
4049,"Nope. Op, wait! There he goes.",Joey,neutral,neutral,413,4,5,17,1900-01-01 00:01:56.783,1900-01-01 00:01:59.493,2.71,6
4053,What are you guys doing up?,Joey,surprise,positive,414,3,5,16,1900-01-01 00:00:10.635,1900-01-01 00:00:13.929,3.294,6
4054,"Oh, we wanted to finish the crossword before we went to bed. Hey, do you know a six-letter word for red?",Chandler,neutral,neutral,414,4,5,16,1900-01-01 00:00:10.635,1900-01-01 00:00:17.766,7.131,21
4056,"Yeah, I think that's wrong, but there's a Connect the Dots in here for you later.  Hey, how about maroon?",Chandler,neutral,neutral,414,6,5,16,1900-01-01 00:00:21.604,1900-01-01 00:00:29.111,7.507,20
4057,"Yes, you are so smart!",Monica,joy,positive,414,7,5,16,1900-01-01 00:00:30.363,1900-01-01 00:00:32.865,2.502,5
4058,"Aww, you guys are so cute!",Joey,joy,positive,414,8,5,16,1900-01-01 00:00:33.366,1900-01-01 00:00:36.076,2.71,6
4060,"All right, I'll see you in the morning.",Joey,neutral,neutral,414,10,5,16,1900-01-01 00:00:38.496,1900-01-01 00:00:40.205,1.709,8
4065,"But hey, I know we can decide.",Joey,neutral,neutral,415,2,5,22,1900-01-01 00:06:35.145,1900-01-01 00:06:36.670,1.525,7
4066,"Okay, I'm gonna ask you questions and you answer real quick.",Joey,neutral,neutral,415,3,5,22,1900-01-01 00:06:36.813,1900-01-01 00:06:39.195,2.382,11
4069,What do you like better action or comedy?,Joey,neutral,neutral,415,6,5,22,1900-01-01 00:06:40.149,1900-01-01 00:06:41.501,1.352,8
4071,Who would you rather sleep with Monica or Rachel?,Joey,neutral,neutral,415,8,5,22,1900-01-01 00:06:41.984,1900-01-01 00:06:44.778,2.794,9
4072,"Dude, you are sick.",Ross,disgust,negative,415,9,5,22,1900-01-01 00:06:49.200,1900-01-01 00:06:51.201,2.001,4
4073,"Oh, I'm sorry. I forgot you had that whole Rachel thing.",Joey,surprise,positive,415,10,5,22,1900-01-01 00:06:52.995,1900-01-01 00:06:57.624,4.629,11
4074,"I mean, this is unbelievable.",Rachel,surprise,positive,416,0,1,24,1900-01-01 00:10:03.269,1900-01-01 00:10:06.771,3.502,5
4075,"I know. This is really, really huge.",Phoebe,surprise,positive,416,1,1,24,1900-01-01 00:10:06.981,1900-01-01 00:10:09.649,2.668,7
4076,No it's not. It's small. It's tiny. It's petite. It's wee.,Chandler,neutral,neutral,416,2,1,24,1900-01-01 00:10:09.859,1900-01-01 00:10:14.321,4.462,11
4078,"OK, is there a mute button on this woman?",Chandler,disgust,negative,416,4,1,24,1900-01-01 00:10:20.911,1900-01-01 00:10:23.496,2.585,9
4080,Hi! Im Dr. Drake Remoray and I have a few routine questions I need to ask you.,Joey,neutral,neutral,418,0,8,23,1900-01-01 00:17:30.037,1900-01-01 00:17:35.042,5.005,17
4081,Really? Ive been dealing with Dr. Wells.,Man,surprise,negative,418,1,8,23,1900-01-01 00:17:35.959,1900-01-01 00:17:38.253,2.294,7
4082,"I know, but Im a neurologist.",Joey,neutral,neutral,418,2,8,23,1900-01-01 00:17:38.462,1900-01-01 00:17:41.548,3.086,6
4083,"And just to be on the safe side, Dr. Wells wanted a more comprehensive overview of you status so he sent me.",Joey,neutral,neutral,418,3,8,23,1900-01-01 00:17:41.715,1900-01-01 00:17:46.803,5.088,22
4084,Dr. Wells is a woman.,Man,surprise,negative,418,4,8,23,1900-01-01 00:17:47.221,1900-01-01 00:17:48.972,1.751,5
4085,"That was a test. Good response. All right, full name.",Joey,neutral,neutral,418,5,8,23,1900-01-01 00:17:50.891,1900-01-01 00:17:58.732,7.841,10
4090,Cant you figure that out based on my date of birth?,Cliff,anger,negative,418,10,8,23,1900-01-01 00:18:05.239,1900-01-01 00:18:07.742,2.503,11
4091,"Im a doctor Cliff, not a mathematician.",Joey,neutral,neutral,418,11,8,23,1900-01-01 00:18:07.742,1900-01-01 00:18:10.723,2.981,7
4093,"Okay. And uh, are you married.",Joey,neutral,neutral,418,13,8,23,1900-01-01 00:18:14.000,1900-01-01 00:18:17.000,3.0,6
4095,"Oh really? So, 33 and still single, would you say you have commitment issues?",Joey,surprise,positive,418,15,8,23,1900-01-01 00:18:18.085,1900-01-01 00:18:24.758,6.673,14
4096,Are all the questions this personal?,Cliff,surprise,negative,418,16,8,23,1900-01-01 00:18:26.051,1900-01-01 00:18:29.096,3.045,6
4098,Well uh if you must know Im a widower.,Cliff,sadness,negative,418,18,8,23,1900-01-01 00:18:32.015,1900-01-01 00:18:35.269,3.254,9
4099,Oh thats terrible. Im-Im really sorry.,Joey,sadness,negative,418,19,8,23,1900-01-01 00:18:35.435,1900-01-01 00:18:38.147,2.712,6
4101,Hmm. Do you sleep with women and never call them again?,Joey,neutral,neutral,418,21,8,23,1900-01-01 00:18:39.940,1900-01-01 00:18:43.235,3.295,11
4103,"Chandler Muriel Bing. Boy, your parents never gave you a chance did they?",Ross,neutral,neutral,419,0,8,5,1900-01-01 00:03:41.512,1900-01-01 00:03:48.018,6.506,13
4104,"Hey! You guys, Im writing a holiday song for everyone. Do you want to hear it?",Phoebe,joy,positive,420,0,4,10,1900-01-01 00:06:26.344,1900-01-01 00:06:29.638,3.294,16
4107,"But yknow umm, Rachel doesnt rhyme with draddle.",Rachel,neutral,neutral,420,3,4,10,1900-01-01 00:06:56.541,1900-01-01 00:07:00.419,3.878,8
4108,I know but its so hard! Nothing rhymes with your stupid name!,Phoebe,disgust,negative,420,4,4,10,1900-01-01 00:07:01.045,1900-01-01 00:07:05.507,4.462,12
4109,What are you talking about? Lots of things rhyme with Rachel. Bagel. Mail. Jail. Bail. Able. May-pole.,Joey,neutral,neutral,420,5,4,10,1900-01-01 00:07:06.092,1900-01-01 00:07:15.225,9.133,17
4110,"All good, thanks.  Do you maybe have a nickname have like a nickname thats easier to rhyme?",Phoebe,neutral,neutral,420,6,4,10,1900-01-01 00:07:16.561,1900-01-01 00:07:23.775,7.214,17
4111,Didnt your dad used to call you Pumpkin?,Monica,neutral,neutral,420,7,4,10,1900-01-01 00:07:24.026,1900-01-01 00:07:26.278,2.252,8
4115,"Just uh, just stand up straight.",Joey,fear,negative,421,3,8,16,1900-01-01 00:13:07.119,1900-01-01 00:13:09.454,2.335,6
4116,Take a couple deep breaths.,Joey,fear,negative,421,4,8,16,1900-01-01 00:13:09.705,1900-01-01 00:13:12.582,2.877,5
4119,"I uh, I just came by because I-I want to talk to you about something.",Joey,fear,negative,421,7,8,16,1900-01-01 00:13:22.176,1900-01-01 00:13:26.554,4.378,15
4121,"What I do dois manage to uh, create an atmosphere of support for the people working with me.",Chandler,neutral,neutral,422,0,8,21,1900-01-01 00:14:05.846,1900-01-01 00:14:15.230,9.384,19
4122,I see. Nice sidestep on the do do thing by the way.,Phoebe,neutral,neutral,422,1,8,21,1900-01-01 00:14:15.397,1900-01-01 00:14:18.066,2.669,12
4123,Hardest thing Ive ever done in my life.,Chandler,neutral,neutral,422,2,8,21,1900-01-01 00:14:18.233,1900-01-01 00:14:19.568,1.335,8
4126,"Okay, dont worry. Youre ready.",Phoebe,neutral,neutral,422,5,8,21,1900-01-01 00:14:22.153,1900-01-01 00:14:24.085,1.932,5
4128,Absolutely! Just fight all your natural instincts and youll be great.,Phoebe,neutral,neutral,422,7,8,21,1900-01-01 00:14:25.073,1900-01-01 00:14:28.869,3.796,11
4130,"Now, Mom, everything's going fine, really.",Monica,neutral,neutral,423,0,1,23,1900-01-01 00:11:27.687,1900-01-01 00:11:29.606,1.919,6
4131,"Yeah, Ross is great.",Monica,neutral,neutral,423,1,1,23,1900-01-01 00:11:29.606,1900-01-01 00:11:32.260,2.654,4
4132,"He's uh, he's in a whole other place.",Monica,neutral,neutral,423,2,1,23,1900-01-01 00:11:32.400,1900-01-01 00:11:34.122,1.722,8
4134,"No no, you don't have to fly back, really.",Monica,neutral,neutral,423,4,1,23,1900-01-01 00:11:37.113,1900-01-01 00:11:40.281,3.168,9
4135,What do you mean this might be your only chance?,Monica,surprise,negative,423,5,1,23,1900-01-01 00:11:40.449,1900-01-01 00:11:42.575,2.126,10
4137,"I'm only 26, I'm not even thinking about babies yet.",Monica,anger,negative,423,7,1,23,1900-01-01 00:11:45.287,1900-01-01 00:11:50.792,5.505,10
4139,"Oh, just had a baby.",Joey,joy,positive,423,9,1,23,1900-01-01 00:12:02.072,1900-01-01 00:12:04.400,2.328,5
4141,"Oh, wow! I should get going. I-I got a date tonight.",Ross,joy,positive,424,0,4,10,1900-01-01 00:09:08.130,1900-01-01 00:09:10.465,2.335,11
4142,Oh yeah! With who?,Chandler,surprise,positive,424,1,4,10,1900-01-01 00:09:10.716,1900-01-01 00:09:11.841,1.125,4
4143,You know that girl I told you about who lives up in Poughkeepsie?,Ross,neutral,neutral,424,2,4,10,1900-01-01 00:09:12.134,1900-01-01 00:09:15.136,3.002,13
4146,"Yeah, this is someone else I meet, and I-I cant decide between the two of them.",Ross,neutral,neutral,424,4,4,10,1900-01-01 00:09:17.348,1900-01-01 00:09:21.935,4.587,16
4147,"Yknow the one from Poughkeepsie, even though shes a two hour train ride away, is really pretty, really smart, and-and a lot of fun.",Ross,neutral,neutral,424,5,4,10,1900-01-01 00:09:22.170,1900-01-01 00:09:29.276,7.106,24
4148,"But this other girl, well, she lives right uptown.",Ross,neutral,neutral,424,6,4,10,1900-01-01 00:09:29.485,1900-01-01 00:09:33.488,4.003,9
4149,"Yknow shes, well shes-shes just as pretty, I guess shes smart, shes",Ross,neutral,neutral,424,7,4,10,1900-01-01 00:09:38.077,1900-01-01 00:09:39.828,1.751,12
4150,"If shes no fun, why do you want to date her at all?",Phoebe,neutral,neutral,424,8,4,10,1900-01-01 00:09:40.788,1900-01-01 00:09:47.085,6.297,13
4151,"Well, I-I want to give her another chance, yknow?",Ross,neutral,neutral,424,9,4,10,1900-01-01 00:09:47.336,1900-01-01 00:09:48.921,1.585,9
4152,She lives so close.,Ross,neutral,neutral,424,10,4,10,1900-01-01 00:09:48.921,1900-01-01 00:09:51.095,2.174,4
4153,"And, at the end of the date, the other time, she-she said something that wasif she was kidding was very funny.",Ross,neutral,neutral,424,11,4,10,1900-01-01 00:09:51.716,1900-01-01 00:09:59.222,7.506,21
4154,"On the other hand, if she wasnt kidding, shes not fun, shes stupid, and kind of a racist.",Ross,anger,negative,424,12,4,10,1900-01-01 00:09:59.640,1900-01-01 00:10:04.477,4.837,18
4158,"Hey! Ooh, how was your first day working at the restaurant?",Phoebe,joy,positive,424,15,4,10,1900-01-01 00:10:08.608,1900-01-01 00:10:11.693,3.085,11
4160,Oh heres a whole bunch.,Phoebe,neutral,neutral,425,0,7,23,1900-01-01 00:20:44.952,1900-01-01 00:20:46.452,1.5,5
4161,"Oh, I mean shes gonna be at the wedding waiting for him and people will be whispering, ""Oh that poor girl.""",Rachel,neutral,neutral,425,1,7,23,1900-01-01 00:20:46.662,1900-01-01 00:20:52.625,5.963,21
4163,Then shell have to come back here and live all alone.,Rachel,sadness,negative,425,2,7,23,1900-01-01 00:20:52.834,1900-01-01 00:20:56.212,3.378,11
4166,"There was a pregnancy test in the garbage, and its positive. Monicas pregnant.  So I guess she wont be totally alone.",Phoebe,surprise,positive,425,5,7,23,1900-01-01 00:20:58.548,1900-01-01 00:21:11.686,13.138,21
4168,"Listen, Im sorry about that whole thing with Roger.",Phoebe,sadness,negative,426,1,8,11,1900-01-01 00:21:10.852,1900-01-01 00:21:15.731,4.879,9
4169,"It really wasnt right, and I, and I want to make it up to you, so umm, I brought you something that I think youll really enjoy.",Phoebe,anger,negative,426,2,8,11,1900-01-01 00:21:15.899,1900-01-01 00:21:24.115,8.216,27
4170,"Now, this is just a loan.",Phoebe,neutral,neutral,426,3,8,11,1900-01-01 00:21:31.790,1900-01-01 00:21:33.083,1.293,6
4172,"Im gonna, Im gonna want him back.",Phoebe,neutral,neutral,426,5,8,11,1900-01-01 00:21:33.725,1900-01-01 00:21:35.697,1.972,7
4173,So  Im gonna go now.,Phoebe,neutral,neutral,426,6,8,11,1900-01-01 00:21:35.697,1900-01-01 00:21:37.417,1.72,5
4174,"Im sorry, I thought I could do it and I cant!",Phoebe,sadness,negative,426,7,8,11,1900-01-01 00:21:44.553,1900-01-01 00:21:47.430,2.877,11
4178,"All right, well why dont I go out with an ex-boyfriend and do Joey a favor?!",Monica,sadness,negative,427,0,6,18,1900-01-01 00:07:48.926,1900-01-01 00:07:53.346,4.42,16
4179,"Hey, you wanna do Joey a favor, maybe you go out with Joey.",Joey,neutral,neutral,427,1,6,18,1900-01-01 00:07:53.514,1900-01-01 00:07:56.725,3.211,13
4180,"All right ladies, heres what were gonna do.",Chandler,neutral,neutral,428,0,4,14,1900-01-01 00:21:16.358,1900-01-01 00:21:18.609,2.251,8
4181,"I-I wanna be with her,  I like her.",Phoebe,anger,negative,428,1,4,14,1900-01-01 00:21:29.246,1900-01-01 00:21:31.247,2.001,8
4182,"Oh, thats fine! Go with your instincts, go with your instincts.",Chandler,joy,positive,428,2,4,14,1900-01-01 00:21:31.415,1900-01-01 00:21:34.542,3.127,11
4183,"Wait, now, what am I doing again?",Monica,surprise,positive,428,3,4,14,1900-01-01 00:21:34.710,1900-01-01 00:21:36.043,1.333,7
4184,"Come on! Would you please pay attention, I could wake up at any moment!",Chandler,anger,negative,428,4,4,14,1900-01-01 00:21:36.211,1900-01-01 00:21:39.088,2.877,14
4185,"Hi, Im Joshua, Im here to pick up Rachel.",The Cigarette Guy,neutral,neutral,428,5,4,14,1900-01-01 00:21:39.256,1900-01-01 00:21:41.757,2.501,9
4186,"No-no-no, that not Joshua.",Rachel,anger,negative,428,6,4,14,1900-01-01 00:21:41.925,1900-01-01 00:21:43.759,1.834,4
4187,"What do you want from me, Ive never met the guy.",Chandler,surprise,positive,428,7,4,14,1900-01-01 00:21:44.594,1900-01-01 00:21:47.054,2.46,11
4188,"So anyway, Rachel, Im sorry you cant stay,  but the rest of us have a",Chandler,sadness,negative,428,8,4,14,1900-01-01 00:21:48.056,1900-01-01 00:21:53.352,5.296,15
4189,How do I look?,Joey,neutral,neutral,429,0,1,14,1900-01-01 00:03:19.657,1900-01-01 00:03:21.901,2.244,4
4190,"Oh, uh, I... don't... care.",Chandler,neutral,neutral,429,1,1,14,1900-01-01 00:03:21.000,1900-01-01 00:03:23.452,2.452,5
4191,"Ok, now, remember, no trading.",Chandler,neutral,neutral,429,2,1,14,1900-01-01 00:03:22.076,1900-01-01 00:03:30.584,8.508,5
4192,"You get the pretty one, I get the mess.",Chandler,neutral,neutral,429,3,1,14,1900-01-01 00:03:30.835,1900-01-01 00:03:33.128,2.293,9
4193,"Hi, Joey. Well well, look what you brought. Very nice.",Lorraine,joy,positive,429,4,1,14,1900-01-01 00:03:33.713,1900-01-01 00:03:41.511,7.798,10
4194,...And what did you bring?,Chandler,neutral,neutral,429,5,1,14,1900-01-01 00:03:44.307,1900-01-01 00:03:46.225,1.918,5
4195,She's checking the coats.,Lorraine,neutral,neutral,429,6,1,14,1900-01-01 00:03:47.936,1900-01-01 00:03:49.645,1.709,4
4196,"Joey, I'm gonna go wash the cab smell off my hands.",Lorraine,neutral,neutral,429,7,1,14,1900-01-01 00:03:49.896,1900-01-01 00:03:53.190,3.294,11
4197,"Will you get me a white Zinfandel, and a glass of red for Janice.",Lorraine,neutral,neutral,429,8,1,14,1900-01-01 00:03:53.441,1900-01-01 00:03:56.153,2.712,14
4201,"Well, okay so, I dont have it all worked out quite yet. Just dont say anything to Rachel, please?",Ross,anger,negative,430,0,6,2,1900-01-01 00:01:43.436,1900-01-01 00:01:52.861,9.425,19
4202,"Rachel is one of my closest friends.  Although, being the only one who knows anything about this does makes me feel special. Okay!",Phoebe,neutral,neutral,430,1,6,2,1900-01-01 00:01:47.315,1900-01-01 00:01:57.336,10.021,23
4206,"Sorry, mix up. Hey, how was the movie?",Phoebe,neutral,neutral,430,5,6,2,1900-01-01 00:02:07.335,1900-01-01 00:02:11.338,4.003,8
4207,I havent seen it yet!,Rachel,neutral,neutral,430,6,6,2,1900-01-01 00:02:12.132,1900-01-01 00:02:13.966,1.834,5
4208,Well then youd better hurry! The Angelica! Go! Go!,Phoebe,surprise,positive,430,7,6,2,1900-01-01 00:02:14.217,1900-01-01 00:02:16.385,2.168,9
4213,"Umm, y'know how the other day you were talking about how you didn't get to go to London and how you were kinda feeling left out?",Joey,neutral,neutral,431,3,5,2,1900-01-01 00:14:23.529,1900-01-01 00:14:29.421,5.892,26
4215,"All right, well, we felt really bad about that so we decided we should all take a little trip together!",Joey,joy,positive,431,5,5,2,1900-01-01 00:14:30.077,1900-01-01 00:14:36.624,6.547,20
4216,"Ohh, that's so nice! How great! Well, where? Where's the trip?!",Phoebe,anger,negative,431,6,5,2,1900-01-01 00:14:37.042,1900-01-01 00:14:41.045,4.003,11
4217,"Well, we thought we would all go to a picnic , in Central Park!",Monica,joy,positive,431,7,5,2,1900-01-01 00:14:41.547,1900-01-01 00:14:48.887,7.34,14
4218,"Yeah, all of us! All day!",Joey,joy,positive,431,8,5,2,1900-01-01 00:14:49.680,1900-01-01 00:14:51.264,1.584,6
4220,That's not a trip!,Phoebe,surprise,negative,431,10,5,2,1900-01-01 00:14:54.268,1900-01-01 00:14:55.728,1.46,4
4222,What are we gonna high five about at the stupid Central Park?,Phoebe,anger,negative,431,12,5,2,1900-01-01 00:14:56.854,1900-01-01 00:14:59.731,2.877,12
4223,"""Well, it's right by my house, all right!""",Phoebe,anger,negative,431,13,5,2,1900-01-01 00:14:59.982,1900-01-01 00:15:02.901,2.919,8
4224,"Well, I'm gonna go home and bask in the triumph of my Central Park idea.",Chandler,anger,negative,431,14,5,2,1900-01-01 00:15:04.747,1900-01-01 00:15:08.698,3.951,15
4226,"Ho-ho-hold on a sec there, Mr. Kissey!",Rachel,surprise,negative,431,15,5,2,1900-01-01 00:15:09.867,1900-01-01 00:15:11.951,2.084,7
4227,"Y'know, I've been meaning to talk to you about this whole, little, new European thing you got going on, and I just need to tell you that it makes me very uncomfortable and I justy'knowstop it!",Rachel,anger,negative,431,16,5,2,1900-01-01 00:15:13.746,1900-01-01 00:15:24.964,11.218,36
4228,I was just trying to bring a little culture to the group.,Chandler,sadness,negative,431,17,5,2,1900-01-01 00:15:26.175,1900-01-01 00:15:28.676,2.501,12
4229,"That's fine, just don't bring it in my mouth.",Phoebe,disgust,negative,431,18,5,2,1900-01-01 00:15:29.011,1900-01-01 00:15:31.763,2.752,9
4230,Makes me wanna puke!,Monica,disgust,negative,431,19,5,2,1900-01-01 00:15:32.473,1900-01-01 00:15:34.265,1.792,4
4231,Is she in there?,Phoebe,neutral,neutral,432,0,2,24,1900-01-01 00:17:12.936,1900-01-01 00:17:14.188,1.252,4
4232,"Yeah. Shes putting her down now, thats her.",Ross,neutral,neutral,433,0,8,24,1900-01-01 00:17:14.563,1900-01-01 00:17:16.899,2.336,8
4233,Oh its all right.,Rachel,neutral,neutral,433,1,8,24,1900-01-01 00:17:17.065,1900-01-01 00:17:18.066,1.001,4
4234,Im guess Im just done with the whole dating thing.,Rachel,sadness,negative,434,0,8,5,1900-01-01 00:19:32.129,1900-01-01 00:19:35.256,3.127,10
4235,Its one more thing in my life thats suddenly completely different.,Rachel,sadness,negative,434,1,8,5,1900-01-01 00:19:35.799,1900-01-01 00:19:40.261,4.462,11
4238,"On the other hand in um, in about seven months youre gonna have something that youre gonna love more than any guy youve ever gone out with.",Ross,neutral,neutral,434,4,8,5,1900-01-01 00:19:46.351,1900-01-01 00:19:57.278,10.927,27
4240,"Wait until uh, wait until the first time your baby grabs your finger.",Ross,joy,positive,434,6,8,5,1900-01-01 00:19:59.489,1900-01-01 00:20:06.454,6.965,13
4241,You have no idea.,Ross,joy,positive,434,7,8,5,1900-01-01 00:20:07.623,1900-01-01 00:20:09.123,1.5,4
4243,"You wanna, you wanna grab some coffee?",Ross,neutral,neutral,434,9,8,5,1900-01-01 00:20:17.841,1900-01-01 00:20:19.593,1.752,7
4244,"Oh no, I think Im gonna go home and eat ten candy bars.",Rachel,sadness,negative,434,10,8,5,1900-01-01 00:20:19.593,1900-01-01 00:20:23.697,4.104,13
4245,"Hey, I thought I cheered you up.",Ross,neutral,neutral,434,11,8,5,1900-01-01 00:20:23.889,1900-01-01 00:20:25.848,1.959,7
4246,"Oh you did, there are twenty in here.",Rachel,neutral,neutral,434,12,8,5,1900-01-01 00:20:23.889,1900-01-01 00:20:28.601,4.712,8
4251,"This is such a great party! 35 years. Very impressive, do you guys have any pearls of wisdom?",Rachel,joy,positive,435,2,8,18,1900-01-01 00:05:10.089,1900-01-01 00:05:18.806,8.717,18
4253,Why would you serve food on such a sharp stick?,Mr. Geller,surprise,negative,435,4,8,18,1900-01-01 00:05:20.017,1900-01-01 00:05:23.635,3.618,10
4254,"Thats a good question, dad. Thats a good question",Ross,neutral,neutral,435,5,8,18,1900-01-01 00:05:24.312,1900-01-01 00:05:27.815,3.503,9
4257,Thank youwere so excited,Rachel,joy,positive,435,7,8,18,1900-01-01 00:05:31.789,1900-01-01 00:05:34.005,2.216,5
4258,"And also, congratulations on your wedding.",an,joy,positive,435,8,8,18,1900-01-01 00:05:34.155,1900-01-01 00:05:36.574,2.419,6
4260,Look at this clown!,Joey,joy,positive,436,0,7,3,1900-01-01 00:06:19.045,1900-01-01 00:06:20.295,1.25,4
4261,Just because hes got a bigger boat he thinks he can take up the whole river.,Joey,disgust,negative,436,1,7,3,1900-01-01 00:06:20.463,1900-01-01 00:06:23.799,3.336,16
4262,Get out of the way jackass!,Joey,anger,negative,436,2,7,3,1900-01-01 00:06:23.966,1900-01-01 00:06:26.676,2.71,6
4263,Who names their boat Coast Guard anyway?,Joey,disgust,negative,436,3,7,3,1900-01-01 00:06:28.429,1900-01-01 00:06:31.056,2.627,7
4265,What are they doing out here? The coasts all the way over there.,Joey,surprise,negative,436,5,7,3,1900-01-01 00:06:33.810,1900-01-01 00:06:39.231,5.421,13
4267,Hey! Check it out! This is unbelievable! Joey has been holding his breath for almost four minutes!,Phoebe,surprise,positive,437,1,8,19,1900-01-01 00:06:34.061,1900-01-01 00:06:39.858,5.797,17
4268,Dude! What are yoyou trying to kill me?!,Joey,neutral,neutral,437,2,8,19,1900-01-01 00:06:45.489,1900-01-01 00:06:47.280,1.791,8
4270,"Really?! Well, its just like everyone elses apartment. Its got rooms, walls, and ceilings.",Richard,neutral,neutral,438,1,3,13,1900-01-01 00:18:39.034,1900-01-01 00:18:45.540,6.506,14
4271,"Well, I just wanted to see where you lived. Now, give me the tour.",Richards Date,neutral,neutral,438,2,3,13,1900-01-01 00:18:45.707,1900-01-01 00:18:48.251,2.544,14
4272,Oh my God! Oh my God!,Monica,surprise,negative,438,3,3,13,1900-01-01 00:18:48.418,1900-01-01 00:18:50.503,2.085,6
4273,"Ah well, this is the living room.",Richard,neutral,neutral,438,4,3,13,1900-01-01 00:18:50.671,1900-01-01 00:18:52.880,2.209,7
4275,All right. This is the kitchen.,Richard,neutral,neutral,438,5,3,13,1900-01-01 00:18:53.048,1900-01-01 00:18:57.135,4.087,6
4277,The bedroom. Well its pretty much your typical...  bedroom.,Richard,neutral,neutral,438,7,3,13,1900-01-01 00:18:59.346,1900-01-01 00:19:03.391,4.045,9
4278,Were still on this side of the door.,Richards Date,neutral,neutral,438,8,3,13,1900-01-01 00:19:07.229,1900-01-01 00:19:08.781,1.552,8
4280,"Yeah, but I didnt get to see it.",Richards Date,sadness,negative,438,10,3,13,1900-01-01 00:19:09.648,1900-01-01 00:19:11.065,1.417,8
4281,Oh shoot! Maybe next time.  Thanks for a lovely evening.,Richard,neutral,neutral,438,11,3,13,1900-01-01 00:19:11.233,1900-01-01 00:19:15.778,4.545,10
4282,"So um, who was she?",Monica,joy,positive,438,12,3,13,1900-01-01 00:19:33.630,1900-01-01 00:19:35.506,1.876,5
4283,"Oh,  that was the blind date that I told you about, she called and switched it to today.",Richard,neutral,neutral,438,13,3,13,1900-01-01 00:19:35.674,1900-01-01 00:19:42.680,7.006,18
4284,"Did you like her? And Im just asking as a friend, because I am totally fine with this.",Monica,neutral,neutral,438,14,3,13,1900-01-01 00:19:43.932,1900-01-01 00:19:50.771,6.839,18
4285,"Well, you seem fine.",Richard,neutral,neutral,438,15,3,13,1900-01-01 00:19:53.275,1900-01-01 00:19:55.109,1.834,4
